881,,,,,,,,,
Clock Time,Process ID,Total Time,Ready Time,CPU Time,IO Time,Wait Time,CPU Util,CPU/IO,Run/Idle
,0,842,170,153,167,351,18.17,0.92,0.61
,1,661,170,109,107,274,16.49,1.02,0.49
,2,729,173,122,123,310,16.74,0.99,0.51
,3,664,174,104,113,272,15.66,0.92,0.49
,4,586,162,102,96,225,17.41,1.06,0.51
,5,830,170,144,156,359,17.35,0.92,0.57
,6,786,171,130,136,348,16.54,0.96,0.51
,7,858,169,158,170,360,18.41,0.93,0.62
,8,861,177,153,164,366,17.77,0.93,0.58
,9,877,179,162,165,370,18.47,0.98,0.6
,10,699,171,107,111,309,15.31,0.96,0.45
,11,801,174,135,132,359,16.85,1.02,0.5
,12,456,174,76,72,133,16.67,1.06,0.48
,13,846,181,144,148,372,17.02,0.97,0.53
,14,758,180,123,122,332,16.23,1.01,0.48
,15,476,173,77,69,156,16.18,1.12,0.44
,16,772,183,127,126,335,16.45,1.01,0.49
,17,709,177,105,117,309,14.81,0.9,0.46
,18,482,173,80,71,157,16.6,1.13,0.46
,19,848,192,142,160,353,16.75,0.89,0.55
